sbd,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,ma_ngoai_ngu
28019322,5.0,8.5,2.8,,,,6.75,7.75,7.0,N1
1067557,5.8,6.75,2.8,,,,5.25,6.0,7.0,N1
42006809,8.0,8.5,6.2,,,,7.75,8.75,9.0,N1
12015290,5.2,8.0,3.0,,,,4.5,7.0,7.5,N1
60000801,8.6,6.75,7.0,7.5,7.75,6.0,,,,N1
61002832,5.4,6.5,4.2,4.75,4.75,5.75,,,,N1
1005796,7.4,8.5,4.8,,,,7.75,6.75,8.25,N1
56004607,8.2,5.75,8.0,7.75,7.75,7.5,,,,N1
21022901,8.2,9.25,7.6,8.0,8.75,6.25,,,,N1
1025805,2.4,4.5,,,,,4.25,6.25,,
15000815,3.6,6.25,3.6,,,,6.25,6.5,6.0,N1
42013981,7.4,7.5,8.8,8.0,6.5,6.5,,,,N1
2063390,5.8,5.0,4.6,,,,5.5,6.5,7.5,N1
1032879,9.2,8.5,9.4,,,,7.75,8.75,9.75,N1
16006208,5.0,6.0,,,,,6.0,7.5,,
30009716,8.4,9.0,5.8,,,,7.25,7.5,8.75,N1
17004135,7.8,,7.6,7.75,,,,,,N1
49000992,6.2,7.5,6.4,4.5,4.0,6.0,,,,N1
41014464,5.6,8.0,6.0,6.75,6.75,6.5,,,,N1
2048043,8.0,8.0,8.2,8.25,8.25,7.0,,,,N1
21021635,7.4,9.25,4.4,,,,5.25,6.25,7.75,N1
3019578,6.8,8.25,5.8,,,,7.5,8.25,8.75,N1
28036373,6.6,7.0,5.6,,,,6.25,5.5,7.25,N1
32007295,3.6,4.25,2.8,,,,4.5,5.5,8.25,N1
57002939,5.2,5.5,,,,,6.75,7.0,,
1088941,7.4,7.5,5.0,,,,7.0,7.0,7.5,N1
34015220,5.4,6.25,3.0,,,,7.25,6.75,8.25,N1
30013013,6.0,7.0,,,,,7.25,8.75,,
38009654,5.6,6.25,4.8,5.25,7.0,8.0,,,,N1
51008820,6.4,5.75,,,,,7.75,7.5,,
2021911,6.0,5.75,2.8,,,,5.25,7.75,8.25,N1
3005538,6.4,8.25,4.0,,,,7.25,6.5,9.5,N1
62003212,4.0,5.5,3.8,,,,6.75,7.75,8.0,N1
47012112,7.0,6.75,6.2,,,,8.25,7.0,8.75,N1
16001856,7.6,7.25,6.0,,,,6.75,8.0,9.0,N1
1054549,6.6,8.25,4.0,,,,7.75,7.5,8.0,N1
1066394,3.0,6.5,,,,,5.75,4.75,,
35009513,7.4,8.0,5.6,6.25,8.0,4.25,,,,N1
28000203,6.4,7.0,7.6,7.75,4.75,6.0,,,,N1
26016952,7.4,7.75,7.4,7.5,5.0,6.5,,,,N1
8002283,6.0,8.0,3.6,,,,8.0,9.25,9.75,N1
50008120,6.8,7.75,5.0,,,,6.75,8.0,8.5,N1
1104700,6.8,7.25,7.2,,,,5.25,7.25,7.75,N1
4003119,4.6,3.0,,,,,4.75,5.75,,
33003291,4.8,7.75,4.4,,,,6.25,7.5,8.75,N1
44006004,7.2,7.5,4.8,6.25,6.5,4.25,,,,N1
2043219,6.2,7.0,7.6,,,,6.5,8.0,7.5,N1
1077243,7.4,8.5,4.4,5.75,3.25,5.0,,,,N1
1103012,7.0,7.5,5.2,,,,8.25,7.25,8.75,N1
1100617,5.4,6.75,2.2,4.5,3.75,2.5,,,,N1
15001766,6.6,9.25,5.4,,,,7.25,8.5,9.0,N1
25012356,7.4,7.5,3.0,6.75,6.0,4.75,,,,N1
38000638,6.6,6.75,4.0,,,,5.0,6.0,7.25,N1
50000829,6.0,7.5,4.2,,,,7.0,6.75,8.0,N1
24000685,8.2,8.5,6.8,7.75,8.5,6.25,,,,N1
2086088,7.4,8.5,,6.75,5.75,5.75,,,,
