sbd,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,ma_ngoai_ngu
28006704,5.0,8.25,4.6,,,,6.75,7.5,8.25,N1
29030194,5.4,7.75,4.0,5.25,6.25,7.25,,,,N1
13006173,5.2,6.5,4.6,,,,6.5,8.25,7.5,N1
1065112,4.4,7.25,,,,,7.25,7.75,,
40018335,6.0,7.5,4.6,,,,5.5,5.75,7.25,N1
1093354,4.0,8.5,3.6,,,,4.25,6.25,5.75,N1
28013362,8.6,8.0,4.6,8.25,9.75,7.75,,,,N1
31004282,5.4,7.25,3.0,,,,7.0,6.75,8.0,N1
48008987,7.0,5.25,4.2,,,,6.5,7.25,8.5,N1
32000883,4.2,5.75,3.2,,,,6.0,8.0,7.25,N1
40017917,6.6,8.5,8.4,1.75,6.75,7.5,,,,N1
43010790,7.6,6.25,5.4,,,,8.75,7.5,9.25,N1
42005282,8.2,6.5,5.4,9.0,8.0,5.25,,,,N1
25004773,4.8,7.25,,,,,7.5,7.25,,
38001801,8.0,9.0,8.2,,,,7.0,6.25,8.0,N1
26006721,6.8,7.25,6.6,,,,9.5,9.25,9.75,N1
18010977,4.2,7.75,5.2,,,,6.5,8.25,6.25,N1
17015548,,6.75,,,,,8.5,8.75,,
26022444,6.0,7.0,4.6,,,,6.25,8.25,8.5,N1
29030374,6.6,8.75,6.4,,,,8.0,7.5,9.0,N1
2063573,5.4,5.0,6.6,,,,8.25,7.5,8.5,N1
18007384,4.6,7.5,5.2,,,,7.75,7.75,7.5,N1
4009727,7.2,,,6.75,7.5,,,,,
24002014,5.8,8.5,6.4,,,,7.5,8.25,9.5,N1
35013998,6.4,8.0,6.0,,,,6.75,6.75,7.5,N1
3013791,6.6,8.5,4.0,,,,5.75,7.25,7.5,N1
37000126,7.6,8.25,4.8,4.75,7.5,7.75,,,,N1
2034479,6.8,5.75,6.0,4.25,4.75,3.5,,,,N1
15007661,6.4,9.5,4.8,,,,8.25,9.25,9.25,N1
28008580,8.6,8.0,8.6,9.0,8.5,8.0,,,,N1
64005610,3.2,4.0,,,,,4.5,5.75,,
9001359,7.2,8.0,6.0,,,,8.75,9.5,9.75,N1
5006339,3.2,6.0,2.4,,,,4.0,6.0,6.25,N1
2060850,6.4,8.75,7.8,5.25,5.25,7.0,,,,N1
47006955,6.6,7.25,3.4,,,,5.75,6.25,8.75,N1
6001758,3.6,5.25,3.0,,,,6.0,5.0,6.75,N1
53008235,8.0,9.25,6.6,9.25,9.25,7.75,,,,N1
25011996,8.4,7.5,5.2,8.5,8.0,6.5,,,,N1
57000537,8.6,5.75,8.8,8.5,5.25,7.0,,,,N1
1038509,6.8,8.25,7.8,,,,8.5,9.0,10.0,N1
1070542,6.4,7.5,4.4,,,,7.25,6.75,7.75,N1
54007371,6.8,7.75,7.0,,,,7.5,7.75,8.25,N1
1039167,6.2,8.75,5.2,,,,9.5,8.25,9.25,N1
53015349,5.6,7.25,4.0,5.5,5.75,5.0,,,,N1
27004585,8.0,9.25,6.2,,,,9.0,9.25,9.5,N1
2021599,8.0,6.0,,6.25,4.0,5.0,,,,
2007318,7.0,6.5,5.0,,,,4.0,7.0,7.25,N1
2074274,6.4,7.5,7.6,,,,7.0,8.5,9.25,N1
18001073,8.4,6.5,3.8,9.25,9.75,5.25,,,,N1
29005435,6.6,9.0,,,,,8.0,8.25,,
38005540,6.0,5.5,2.6,4.0,5.5,4.75,,,,N1
33009746,6.2,7.5,5.0,,,,7.0,8.0,7.75,N1
53000509,6.6,8.0,3.0,,,,8.25,7.25,9.0,N1
12000542,8.0,8.0,5.0,8.25,7.5,6.25,,,,N1
47006589,8.2,7.25,5.4,,,,7.25,9.0,9.5,N1
27008127,8.2,8.25,6.6,7.0,7.75,6.75,,,,N1
27007613,7.2,7.75,,,,,5.5,7.5,,
1026179,8.0,8.75,9.0,,,,8.5,9.75,9.5,N1
37019280,4.0,3.25,3.8,,,,3.0,4.75,5.5,N1
28005387,6.8,6.5,5.6,,,,6.75,8.75,7.5,N1
1011045,7.2,9.75,6.8,,,,7.75,7.5,9.0,N1
50010670,7.2,6.5,4.4,5.25,8.25,7.0,,,,N1
47006174,6.0,8.75,6.4,,,,7.75,8.5,9.5,N1
40014663,7.4,7.25,4.0,,,,7.5,8.25,9.5,N1
12006439,6.2,7.0,2.4,,,,5.5,4.5,6.0,N1
48032693,3.8,5.25,3.2,,,,5.25,5.75,7.75,N1
21015761,7.8,9.25,8.8,,,,7.5,8.5,9.25,N1
21002240,7.0,9.5,6.6,,,,7.5,9.0,9.25,N1
36003849,5.0,7.25,3.6,,,,6.25,7.0,8.25,N1
21004533,4.2,8.0,3.8,,,,7.5,9.0,9.0,N1
17006034,7.4,7.5,5.8,,,,6.25,6.5,8.75,N1
21006434,3.4,5.25,,,,,6.25,6.75,,
8004493,5.4,5.75,5.4,3.5,3.75,6.75,,,,N1
29019094,7.6,7.5,4.0,,,,8.75,8.0,8.75,N1
19007191,5.6,7.5,5.0,,,,5.0,5.25,6.75,N1
2008529,6.4,7.0,4.2,5.0,6.0,5.0,,,,N1
31001572,5.2,4.5,6.4,,,,6.5,7.25,8.0,N1
63003503,7.6,7.33,4.4,7.75,7.75,5.5,,,,N1
2057960,6.6,6.5,8.2,,,,5.5,6.0,8.75,N1
29020338,6.6,8.5,5.8,,,,5.0,7.25,7.5,N1
29026131,8.6,8.75,5.0,8.0,8.5,7.0,,,,N1
47011551,7.6,7.5,6.4,8.25,7.0,7.0,,,,N1
57007533,7.6,7.5,7.2,,,,7.5,8.5,9.25,N1
7001257,6.0,7.5,5.4,3.5,5.75,5.0,,,,N1
1012857,8.2,9.0,8.8,,,,6.75,8.0,8.25,N1
12015103,6.2,8.0,2.6,,,,6.0,7.0,7.75,N1
63007387,5.2,8.75,4.8,,,,8.5,9.25,8.25,N1
37012480,7.8,7.0,6.4,,,,7.5,8.75,8.75,N1
49009027,5.8,6.75,5.2,,,,6.0,7.25,9.5,N1
34007582,7.6,7.5,8.4,7.5,4.5,5.5,,,,N1
63003041,6.2,5.5,5.0,,,,6.75,7.0,8.0,N1
1105292,8.4,9.0,8.2,,,,5.5,7.0,8.0,N1
34015951,4.2,3.5,2.8,,,,5.75,6.25,6.25,N1
42004569,6.0,6.5,5.6,,,,6.75,7.0,9.25,N1
12009539,7.2,6.75,5.6,7.0,7.0,5.5,,,,N1
38009977,7.4,7.75,7.6,4.75,7.0,7.25,,,,N1
1093028,7.4,8.5,5.8,,,,6.5,7.75,8.0,N1
9005791,5.2,6.5,5.8,,,,5.25,5.0,8.5,N1
59001984,6.6,8.25,4.0,3.25,4.75,4.75,,,,N1
28008279,2.0,7.0,2.6,,,,4.75,5.5,7.5,N1
21013316,7.4,8.0,9.8,,,,7.5,8.75,9.0,N1
42000327,7.4,8.25,5.8,,,,8.75,7.5,8.75,N1
1099954,6.8,8.0,4.4,,,,7.5,6.75,8.5,N1
49006936,8.2,6.0,5.6,8.5,9.25,6.5,,,,N1
49000340,6.2,5.0,4.6,2.25,3.25,5.25,,,,N1
2068588,7.8,5.75,7.4,7.25,5.25,5.5,,,,N1
39000631,7.8,5.75,5.6,8.0,7.0,4.75,,,,N1
29005525,5.6,7.5,4.8,,,,7.75,6.0,6.75,N1
63007614,5.2,4.5,3.0,,,,5.25,5.75,7.5,N1
2085997,8.2,6.5,5.2,,,,5.0,6.75,8.5,N1
27010303,6.6,6.5,,,,,5.25,7.75,,
29009608,8.4,9.75,9.8,,,,8.5,8.25,9.75,N1
30002742,6.0,9.0,6.6,,,,6.25,9.0,9.5,N1
8007368,6.4,8.75,4.0,,,,8.0,8.0,9.5,N1
16011842,5.6,7.5,4.4,,,,8.75,8.75,8.25,N1
55004275,5.6,7.75,,,,,6.0,7.25,,
61000099,5.8,6.25,4.4,4.75,4.5,5.25,,,,N1
37001980,8.2,8.0,,,,,9.0,9.75,8.5,
32004065,6.2,8.5,7.0,,,,6.0,7.0,7.75,N1
3020842,7.8,9.0,7.4,,,,7.5,9.0,9.75,N1
7001067,7.0,7.75,4.2,6.0,6.0,6.5,,,,N1
1087347,8.6,7.25,8.0,9.0,3.75,5.5,,,,N1
28015532,3.8,8.25,4.2,,,,7.0,8.75,7.5,N1
26013599,7.6,9.0,7.2,,,,9.5,10.0,9.75,N1
17000467,6.6,5.0,3.8,,,,4.25,5.25,8.25,N4
28010120,7.2,9.0,5.6,,,,7.0,6.5,8.0,N1
1090543,5.6,5.0,4.2,,,,5.0,6.25,7.5,N1
30016519,5.8,8.5,4.0,,,,9.0,8.5,8.0,N1
22000179,8.6,6.75,7.4,8.75,9.25,7.25,,,,N1
26006545,8.2,5.0,5.6,6.5,6.0,4.75,,,,N1
55005279,5.2,7.25,4.0,,,,6.25,5.75,7.75,N1
40009663,6.2,6.5,3.6,3.5,7.0,6.0,,,,N1
2036222,8.4,7.5,,,,,7.5,7.0,8.5,
10005979,6.6,7.25,3.4,,,,8.0,8.0,9.0,N1
12001010,5.2,7.25,3.8,,,,8.25,8.25,7.75,N1
16000929,8.4,7.0,7.6,4.5,7.75,8.0,,,,N1
2042951,8.4,7.25,8.6,6.5,7.5,7.0,,,,N1
36003309,4.4,6.75,4.4,,,,6.0,6.75,8.25,N1
3024404,8.0,9.25,8.8,,,,8.5,7.75,9.25,N1
55002336,8.8,6.0,5.6,8.25,7.75,4.5,,,,N1
3007908,7.6,8.5,6.0,,,,7.75,9.25,9.25,N1
49001041,8.4,6.75,4.6,6.75,6.5,5.5,,,,N1
23008987,1.8,6.25,3.0,,,,3.75,4.5,7.0,N1
41002523,8.2,8.5,8.4,6.5,3.75,6.0,,,,N1
2066520,8.0,5.75,5.8,5.75,7.5,5.5,,,,N1
63000397,4.2,6.5,3.6,,,,6.0,7.0,7.25,N1
19015776,5.6,8.5,,,,,6.5,7.75,,
1001743,7.4,8.75,7.8,,,,8.75,8.25,8.5,N1
28002957,7.4,7.75,3.8,,,,5.5,6.5,8.5,N1
2067460,7.6,5.75,7.6,6.25,4.25,5.5,,,,N1
44004277,6.4,7.25,7.8,5.0,4.5,6.75,,,,N1
9003831,7.4,9.0,5.6,,,,8.0,8.0,8.0,N1
30007164,6.2,8.5,6.0,,,,7.25,6.0,7.0,N1
47006584,6.0,7.25,5.6,,,,6.5,7.25,9.0,N1
24006768,4.8,8.75,4.6,,,,6.75,6.25,8.25,N1
17004799,7.2,7.0,5.0,,,,6.5,7.5,7.0,N1
2078981,4.8,7.75,3.8,3.75,6.75,5.25,,,,N1
52007222,6.6,7.25,2.2,,,,4.5,6.5,5.75,N1
41007917,2.8,6.75,,,,,3.25,6.0,,
31001254,6.6,6.5,6.0,,,,7.25,8.0,8.25,N1
56008069,7.4,6.75,3.8,,,,6.0,7.0,9.25,N1
19007682,5.6,8.25,4.8,,,,5.25,7.75,8.25,N1
53015643,8.4,8.75,6.6,7.75,8.75,6.75,,,,N1
3005171,8.8,8.25,9.2,7.25,3.75,6.75,,,,N1
55001891,6.8,6.25,6.8,7.25,5.75,5.75,,,,N1
15001793,7.0,7.5,9.0,,,,8.75,9.0,9.5,N1
40010198,3.6,5.75,2.6,,,,5.0,4.0,7.0,N1
1105842,6.4,8.5,3.4,,,,6.75,7.0,7.75,N1
25006491,7.6,7.5,4.6,5.0,6.25,5.5,,,,N1
51008358,5.6,8.25,5.4,7.25,7.0,6.5,,,,N1
54004924,2.8,6.25,,,,,4.75,5.75,,
16012817,6.0,8.5,4.4,,,,8.75,9.0,9.25,N1
37009788,7.6,6.25,4.4,,,,8.25,8.5,9.0,N1
38014056,3.0,5.5,4.0,,,,5.75,7.5,7.0,N1
52009774,2.6,3.75,2.8,,,,4.25,3.0,4.25,N1
30016295,6.6,7.0,5.2,,,,7.0,9.5,8.0,N1
34001072,6.8,6.5,4.0,,,,3.75,7.25,5.75,N1
58005273,6.6,7.25,3.8,,,,7.75,8.0,8.5,N1
33001429,6.4,5.0,6.0,,,,6.75,7.75,8.25,N1
53000092,5.2,6.75,4.6,4.75,5.0,4.25,,,,N1
63002034,5.2,6.75,4.4,4.25,4.75,6.5,,,,N1
64007249,6.6,4.5,2.6,,,,5.5,7.25,7.0,N1
9000252,9.0,5.5,9.2,8.25,9.75,7.75,,,,N1
2043574,7.6,8.25,8.2,8.25,6.75,6.0,,,,N1
59004036,5.0,9.0,4.4,,,,6.5,7.75,9.25,N1
2071567,5.4,6.0,3.0,,,,6.0,7.5,9.0,N1
2082832,7.8,6.0,,,,,9.5,8.75,,
25010032,6.4,7.0,4.0,7.25,6.0,6.0,,,,N1
3003700,5.2,7.0,3.6,,,,7.25,6.0,7.75,N1
2061741,8.0,6.0,5.2,7.5,8.0,8.75,,,,N1
32005293,4.8,5.0,2.8,4.5,5.5,5.25,,,,N1
2064755,7.8,6.75,5.8,,,,5.5,7.0,7.25,N1
34002807,5.6,6.5,3.4,,,,6.0,7.0,8.25,N1
21009647,8.2,9.5,8.8,,,,8.0,9.0,8.75,N1
35012381,6.0,6.0,6.0,,,,5.75,6.75,8.0,N1
29005461,7.0,8.25,6.2,,,,7.5,7.0,9.0,N1
37014268,3.8,5.75,4.4,,,,6.75,5.25,8.25,N1
41006352,5.0,5.25,,,,,5.75,6.0,,
63006705,5.0,6.0,3.2,,,,5.75,7.0,7.25,N1
1036209,9.0,8.25,9.2,8.25,5.75,5.25,,,,N1
29032279,2.2,6.5,,,,,5.5,5.75,,
50002861,5.0,4.75,,,,,6.0,6.25,,
1106571,7.0,9.0,7.0,,,,5.5,6.5,8.0,N1
1016224,8.4,8.25,4.6,,,,7.5,8.25,9.5,N1
14008843,6.2,8.0,4.4,,,,6.5,8.75,7.75,N1
48014028,8.8,6.5,8.6,7.75,9.25,7.25,,,,N1
35002951,7.6,8.0,7.0,7.75,4.5,4.5,,,,N1
30002866,6.8,8.75,6.2,,,,8.0,9.0,9.0,N1
21008048,5.6,8.25,3.6,,,,5.25,7.25,6.75,N1
2023218,8.8,7.5,7.8,7.5,8.5,9.0,,,,N1
14003143,5.6,6.5,4.6,,,,7.5,6.0,7.25,N1
26016153,7.0,8.75,5.4,,,,9.0,8.25,9.0,N1
8006189,7.4,7.75,4.2,6.5,6.25,5.25,,,,N1
50001972,4.0,7.0,3.8,,,,5.25,8.5,8.75,N1
1068651,7.0,6.5,7.2,7.25,5.75,6.25,,,,N1
48008108,5.8,5.0,,,,,7.0,7.0,,
47004970,8.4,5.75,4.2,8.0,6.5,5.5,,,,N1
56005929,5.4,6.5,3.4,,,,6.5,6.0,8.75,N1
21010300,6.2,6.75,3.6,,,,6.5,7.25,7.5,N1
1043921,8.4,6.0,6.6,9.0,9.75,7.5,,,,N1
47011462,3.4,6.5,3.4,,,,6.0,6.5,6.75,N1
47011953,5.6,6.25,3.2,,,,6.0,6.0,8.25,N1
54006862,5.4,5.25,3.8,,,,6.5,6.75,7.25,N1
29009084,4.2,5.0,3.4,,,,3.25,4.75,5.0,N1
21014683,8.2,8.0,9.2,8.5,6.5,6.5,,,,N1
43000223,8.8,8.25,4.0,,,,8.75,7.5,9.5,N1
22011423,5.6,8.25,7.2,,,,,,,N1
2001141,8.6,5.75,,,,,7.0,7.75,9.0,
16000424,7.2,9.5,9.2,,,,7.0,9.0,9.25,N1
49000308,7.6,7.25,6.4,5.25,8.25,7.25,,,,N1
54006130,5.8,6.5,3.2,3.0,5.25,8.0,,,,N1
53002175,7.8,8.5,7.4,,,,9.0,8.75,9.5,N1
18010293,7.4,7.5,7.0,4.75,4.5,5.5,,,,N1
38011994,4.6,4.0,3.8,,,,4.25,5.0,6.5,N1
48015189,7.4,7.75,5.0,5.0,3.0,4.25,,,,N1
55000203,3.0,6.0,,,,,5.5,5.5,,
18014706,9.0,8.75,7.6,8.75,4.75,7.0,,,,N1
48010066,6.8,4.5,4.4,,,,6.75,7.0,6.75,N1
18003628,7.0,6.5,5.6,6.75,6.5,6.0,,,,N1
43003032,7.0,7.25,4.8,6.75,6.0,5.75,,,,N1
2026663,8.8,6.25,8.2,7.25,8.75,5.75,,,,N1
2079255,5.0,4.0,,,,,3.75,6.5,,
40013098,5.0,6.0,3.2,,,,5.5,7.75,7.75,N1
37003122,4.2,6.5,6.0,,,,6.25,7.75,8.5,N1
35008240,7.2,7.0,7.8,,,,9.0,8.75,9.25,N1
2017133,7.8,6.25,8.2,5.5,8.5,6.25,,,,N1
35012866,2.8,2.5,3.4,,,,3.5,3.75,4.0,N1
2013355,7.2,5.75,4.4,,,,7.5,7.25,8.0,N1
64004961,7.8,7.0,5.8,7.0,9.5,8.5,,,,N1
15009077,7.0,7.75,7.2,,,,6.0,7.25,7.5,N1
19002371,8.8,9.25,6.6,8.5,5.5,6.0,,,,N1
26012979,6.4,6.75,5.6,5.0,5.25,5.0,,,,N1
41004182,4.6,6.25,4.0,,,,6.0,7.75,7.75,N1
41013369,5.2,7.75,3.2,,,,3.5,4.5,6.5,N1
52001172,8.0,8.5,9.2,8.5,7.75,6.75,,,,N1
27011644,7.8,9.25,8.0,,,,7.5,8.5,9.0,N1
29026992,6.2,8.5,5.0,,,,8.0,8.25,7.75,N1
15014411,6.2,7.5,2.6,,,,8.25,8.75,9.0,N1
48023929,3.0,3.75,,,,,5.25,5.5,,
2001403,6.8,6.75,,5.25,3.25,4.5,,,,
21004226,4.8,7.0,,,,,5.0,5.0,,
5000745,5.0,7.75,7.2,,,,6.75,6.5,7.5,N1
28001887,6.8,8.25,7.0,7.0,7.5,7.25,,,,N1
17007595,7.0,8.5,7.0,2.75,6.5,7.25,,,,N1
35007633,3.6,7.5,4.4,,,,4.25,5.0,6.5,N1
16000123,8.2,8.75,5.6,8.5,9.0,8.75,,,,N1
28022656,8.6,7.5,6.6,9.0,9.5,7.5,,,,N1
28024805,6.2,7.25,3.0,,,,7.0,6.5,7.75,N1
38009900,8.0,5.25,4.6,6.0,6.5,4.25,,,,N1
49002954,8.0,7.75,5.6,8.5,7.0,5.75,,,,N1
62000049,8.0,6.0,2.6,6.75,7.25,5.5,,,,N1
59009540,2.6,6.75,1.4,,,,5.0,5.75,7.75,N1
19008748,5.0,6.25,2.4,,,,5.25,6.75,6.75,N1
15005179,4.8,6.25,3.8,,,,6.0,6.5,8.0,N1
61008663,7.4,8.5,5.2,7.5,7.0,6.75,,,,N1
51019290,5.0,7.5,3.6,,,,6.75,8.5,9.0,N1
12010920,6.2,8.0,5.4,,,,6.75,6.75,8.75,N1
23005538,4.4,6.5,3.2,,,,5.75,6.0,8.75,N1
1050089,8.4,8.5,9.4,9.25,5.25,6.5,,,,N1
40016351,8.6,6.5,7.2,7.5,9.25,7.5,,,,N1
13001755,5.4,6.0,3.4,,,,5.0,6.25,7.25,N1
1059872,8.2,8.5,,5.25,9.0,7.75,,,,
25020604,5.6,8.25,5.4,,,,7.75,8.5,7.25,N1
25009357,8.2,9.0,8.4,6.5,8.0,6.5,,,,N1
51002146,,8.25,,,,,8.25,8.75,,
21003300,8.2,7.25,4.4,7.75,8.75,7.0,,,,N1
63003837,7.0,5.5,4.2,,,,6.5,5.75,7.0,N1
35006480,6.4,7.5,6.2,,,,4.25,8.25,6.25,N1
49000500,5.6,6.0,3.2,,,,7.5,9.0,9.5,N1
23004081,3.4,7.0,2.6,,,,6.0,5.0,7.5,N1
6002225,5.0,8.75,5.0,,,,8.0,7.75,9.5,N1
1078535,3.2,7.5,,,,,7.0,6.5,,
1063404,8.4,6.25,2.0,8.5,6.75,5.75,,,,N1
40011489,7.6,6.5,,8.5,9.25,7.5,,,,
2080543,6.6,7.0,4.6,,,,5.25,8.75,9.0,N1
22011128,4.6,7.75,3.8,,,,6.25,5.5,6.0,N1
52008681,7.0,7.5,7.8,,,,5.5,8.0,8.25,N1
42006860,7.0,6.5,5.4,,,,6.5,7.25,8.5,N1
28007004,3.8,6.0,4.0,,,,5.5,7.75,7.5,N1
9000430,7.6,8.0,,,,,8.25,9.75,9.5,
3002575,3.4,7.75,2.2,,,,4.0,6.5,7.0,N1
59004621,6.2,8.0,3.0,,,,7.75,6.75,9.0,N1
49012795,8.4,8.0,7.8,8.5,8.25,6.75,,,,N1
13006266,7.8,7.5,4.6,,,,7.0,8.5,9.0,N1
54010032,3.6,7.25,,,,,8.0,7.75,,
54006397,7.0,7.25,4.4,,,,7.0,8.25,8.5,N1
41006000,3.6,7.0,4.4,,,,5.5,5.75,7.5,N1
9004040,3.6,6.75,3.4,,,,5.25,7.0,8.0,N1
45004837,7.4,6.5,4.4,5.75,6.75,5.75,,,,N1
49013729,3.6,4.0,2.8,,,,3.5,4.25,6.5,N1
42012782,7.4,7.75,5.0,,,,7.25,7.5,8.0,N1
40007716,5.6,6.0,3.0,,,,5.0,6.25,7.5,N1
6004774,3.4,5.25,2.8,,,,4.5,5.25,7.75,N1
1040972,7.4,8.75,5.2,,,,7.75,8.0,9.0,N1
23004094,6.0,8.5,5.4,,,,8.0,10.0,9.0,N1
42010274,3.2,6.75,3.8,,,,5.0,5.75,8.5,N1
53011128,,8.5,,,,,6.5,6.75,,
35008167,7.8,7.5,4.8,8.0,9.0,5.75,,,,N1
16015355,7.2,7.75,3.6,,,,8.5,9.25,9.25,N1
58002007,3.8,8.5,4.8,3.0,4.0,7.0,,,,N1
19013373,8.6,7.5,6.6,9.25,4.25,5.75,,,,N1
17005327,7.2,7.5,5.8,,,,7.0,7.75,8.25,N1
5003946,5.4,6.25,6.0,,,,6.0,7.0,7.75,N1
3009447,7.0,7.5,3.2,4.25,6.5,3.75,,,,N1
2076940,4.8,5.5,3.8,2.5,3.0,5.0,,,,N1
48006819,6.4,7.0,8.2,,,,8.0,7.75,9.5,N1
12013509,4.8,7.75,3.6,,,,7.75,8.0,8.5,N1
7002733,5.0,4.5,3.8,,,,6.25,6.0,6.25,N1
21001970,7.8,9.0,7.2,,,,6.75,8.25,8.5,N1
15007716,7.0,7.5,4.8,,,,7.25,7.5,7.0,N1
47000656,6.6,6.0,6.6,,,,6.75,6.0,5.75,N1
22005176,3.8,4.5,,,,,7.25,6.0,,
62006818,,7.75,,,,,7.5,7.25,,
53011502,2.8,5.5,,,,,3.25,6.75,,
61008673,3.8,6.0,3.4,,,,4.75,7.0,6.75,N1
48025256,8.4,7.75,6.0,4.75,8.5,8.0,,,,N1
19008168,6.4,6.5,3.4,,,,5.0,7.0,5.5,N1
35007740,5.8,4.0,4.6,,,,7.0,6.75,7.75,N1
14011776,6.2,7.5,4.8,,,,6.75,5.5,9.0,N1
46001167,,4.5,,,,,5.0,6.25,,
31008409,6.2,7.5,,,,,7.25,8.75,8.75,
28030768,8.4,9.25,7.6,,,,8.25,9.0,9.75,N1
35010072,6.2,6.0,,,,,5.75,5.75,,
9008705,7.0,5.25,5.8,,,,7.75,7.0,8.75,N1
53003370,7.6,8.5,6.4,4.5,7.5,6.5,,,,N1
33008095,8.4,8.0,9.0,7.5,5.5,6.0,,,,N1
16013228,7.8,7.5,6.2,,,,6.75,8.25,8.75,N1
28033090,5.4,8.5,4.0,,,,5.25,5.5,7.25,N1
53010966,8.6,9.0,6.4,,,,8.5,8.75,9.25,N1
16010776,5.8,7.0,,,,,4.75,6.5,,
30016051,6.2,7.5,3.8,,,,8.0,8.5,7.25,N1
28008700,4.0,7.75,2.0,,,,9.5,9.0,8.0,N1
13006350,,5.75,,,,,7.75,7.5,9.25,
13005471,7.2,5.25,6.0,6.0,5.25,7.5,,,,N1
42010175,6.2,8.25,5.8,,,,7.5,7.75,9.0,N1
51016032,6.6,8.5,5.0,,,,8.25,9.0,9.0,N1
1103750,7.2,9.0,5.2,,,,7.5,8.5,8.5,N1
18020325,6.6,8.0,6.4,,,,7.25,6.25,9.25,N1
51012304,5.0,6.75,3.8,,,,6.25,8.0,7.5,N1
29025315,7.6,7.5,8.2,8.25,6.25,6.0,,,,N1
10004109,6.2,7.75,4.6,,,,7.5,7.75,9.0,N1
38004261,7.6,8.5,6.2,8.0,4.75,4.75,,,,N1
1022458,8.4,9.25,9.4,,,,9.0,7.5,8.5,N1
2060547,5.8,5.0,6.2,3.0,5.5,5.0,,,,N1
56008780,7.0,5.25,,,,,7.25,8.5,,
19004934,6.2,8.75,6.4,,,,5.5,8.5,8.25,N1
60005974,6.2,6.75,2.4,6.75,4.5,6.5,,,,N1
21011790,8.0,7.25,3.2,7.25,7.25,5.75,,,,N1
3006083,4.4,8.75,,,,,4.25,7.25,7.25,
1083497,4.8,7.5,1.6,,,,5.25,5.5,5.25,N1
50007659,7.6,,,8.25,6.75,,,,,
48032002,3.6,6.0,,,,,2.75,7.5,,
25004162,6.6,7.75,5.4,,,,7.0,6.75,7.0,N1
25021641,4.8,7.5,3.6,,,,6.5,8.5,8.5,N1
41012460,6.6,8.75,4.0,,,,5.0,5.75,6.25,N1
25015267,8.2,9.0,6.4,,,,6.75,6.75,8.0,N1
29033522,6.8,9.5,7.2,,,,7.75,7.5,9.25,N1
2070546,8.8,6.0,8.4,6.0,9.25,8.5,,,,N1
57008362,7.8,6.0,7.6,7.25,8.75,7.0,,,,N1
3000226,4.8,8.25,3.0,,,,5.75,7.5,8.0,N1
1033179,5.4,8.0,6.2,,,,6.75,8.0,6.0,N1
17012965,4.8,6.0,2.8,,,,4.0,4.0,4.75,N1
6001475,7.0,6.0,4.2,,,,6.25,7.0,6.5,N1
53006826,8.4,8.25,8.2,9.0,9.75,9.0,,,,N1
48027516,7.0,7.0,4.8,4.5,4.75,5.25,,,,N1
37012607,5.6,6.75,6.2,,,,5.25,5.75,8.0,N1
28002121,4.2,9.0,6.8,,,,9.5,9.5,7.5,N1
54004962,7.4,7.5,4.2,7.0,7.0,6.75,,,,N1
53008937,6.2,7.0,6.8,,,,7.25,7.5,7.5,N1
2083527,7.4,7.75,7.6,6.5,5.0,6.5,,,,N1
30001375,7.8,8.5,7.4,,,,7.25,7.5,9.25,N1
55007916,5.4,7.0,4.0,,,,6.5,7.75,8.0,N1
35010253,7.6,8.0,7.6,5.5,6.0,7.0,,,,N1
53010660,8.6,8.5,7.2,7.5,7.25,7.25,,,,N1
28013269,7.8,8.25,5.4,,,,5.75,7.75,8.75,N1
19015675,4.4,7.5,,,,,5.25,8.0,,
24000871,5.6,7.0,,,,,6.25,6.25,,
26020218,7.2,8.75,7.4,,,,9.25,8.75,9.25,N1
5002406,4.8,6.5,4.4,,,,9.0,7.0,9.0,N1
51006531,6.8,7.75,5.2,7.5,6.25,5.5,,,,N1
45001995,6.4,6.75,4.0,5.0,5.0,4.5,,,,N1
12010466,6.2,6.25,3.4,,,,6.25,7.75,8.25,N1
28023852,5.8,8.5,5.8,5.0,6.0,6.75,,,,N1
38011285,7.2,7.75,4.8,7.25,6.75,7.25,,,,N1
17012409,4.6,6.5,5.4,,,,6.75,6.25,7.75,N1
26006245,8.0,7.75,6.8,8.25,8.0,6.75,,,,N1
35013511,6.0,6.5,4.0,,,,6.25,4.75,6.0,N1
31004099,5.4,6.75,6.0,,,,7.5,6.25,8.5,N1
1011194,9.0,8.0,8.4,8.25,6.5,6.25,,,,N1
2068413,7.6,5.75,4.8,5.25,6.5,7.25,,,,N1
25012882,4.6,7.75,4.0,,,,5.25,6.0,6.75,N1
1103000,5.8,8.25,1.6,,,,6.25,7.75,8.25,N1
41011280,5.6,7.5,4.6,,,,5.25,6.5,7.5,N1
52011481,6.8,,,5.0,5.0,,,,,
27006868,8.2,7.5,4.6,6.75,7.0,6.75,,,,N1
31006472,6.8,7.25,5.2,,,,6.0,8.5,7.75,N1
37007196,7.2,5.5,5.2,5.25,7.5,7.25,,,,N1
34016458,5.4,6.75,4.6,,,,8.0,8.5,8.75,N1
41007431,6.0,6.75,4.4,,,,6.25,6.25,7.0,N1
18015294,7.0,9.0,4.6,,,,7.75,8.75,9.5,N1
16010237,7.8,8.25,6.4,,,,9.0,9.5,7.75,N1
